country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,HIGH_CONF_RANK
Saudi Arabia,0.8473691074935811,0.6354236916438878,0.7875955819881053,0.4748710573334173,True,True,True,True,False,False,False,False,4,1.0,A,0.8937416454428136,0.6346157447721356,0.799934547834624,0.5665173901080499,0.7479755081718896,0.739525405012418,0.7576338797629243,0.748378264315744,21.0,22.0,23.0,0.748378264315744,29,Gold,29,24
Slovenia,0.7389614484756891,0.6988159302417848,0.9027187765505524,0.4363292326136916,True,True,True,False,False,False,False,True,3,0.75,B,0.7785848151967016,0.7063227717238013,0.9181847932802444,0.4992668805916316,0.692650020158545,0.7018153932381774,0.7351102518084566,0.7375401382142214,30.0,29.0,27.0,0.7375401382142214,30,Gold,30,25
Italy,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866,True,True,True,True,False,False,False,False,4,1.0,A,0.8359887820201048,0.6448099671157248,0.9090214901276316,0.4799753437783877,0.7258302780451499,0.732592174577761,0.7536056535519511,0.7373427020582872,25.0,23.0,25.0,0.7373427020582872,31,Gold,31,26
New Zealand,0.7427354269507555,0.9170317897565512,0.6460280373831776,0.4102926180501374,True,True,True,True,False,False,False,False,4,1.0,A,0.7825937514890532,0.9531607264261198,0.6545216537580452,0.4538363487417613,0.7332289162861614,0.7086836606104098,0.7546360241628084,0.7321828670197931,23.0,27.0,24.0,0.7321828670197931,32,Gold,32,27
Portugal,0.7673731459526376,0.7015072825442665,0.8496176720475787,0.4112874191223301,True,True,True,True,False,False,False,False,4,1.0,A,0.8087653490537869,0.7093671329320342,0.8636413221337406,0.4555721482130873,0.7182050792099344,0.7204366534853075,0.7473596949645108,0.7286671425532509,26.0,25.0,26.0,0.7286671425532509,33,Gold,33,28
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,4,1.0,A,0.7279277392303926,0.6598083093123578,0.8817497545543798,0.540267444620065,0.6953252904485538,0.710183117853415,0.7204298731060861,0.7086460938026848,29.0,26.0,28.0,0.7086460938026848,34,Gold,34,29
India,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162,True,True,True,True,False,False,False,False,4,1.0,A,0.8226598005986945,0.4710442670128139,0.7726628122613722,0.6765577601700221,0.7003333002464567,0.7025245355130829,0.6960745572902775,0.6996441310166055,27.0,28.0,32.0,0.6996441310166055,35,Gold,35,30
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,True,True,True,True,False,False,False,False,4,1.0,A,0.7520384344169552,0.5578062690229652,0.8726955383440601,0.5378602516453704,0.6787473689791587,0.693248611911626,0.699032819740047,0.6903429335436105,31.0,30.0,31.0,0.6903429335436105,36,Gold,36,31
Latvia,0.6839439135939636,0.7128040076102724,0.8672472387425658,0.3661012152998907,True,True,True,False,False,False,False,True,3,0.75,B,0.7201420355782546,0.7221455832074993,0.8817497545543798,0.3767280547569588,0.6676907865010946,0.6781132644639474,0.7097913489852026,0.689215530491084,34.0,31.0,29.0,0.689215530491084,37,Gold,37,32
China,0.8760530990345821,0.5099983935756449,0.6903143585386576,0.4028134361212486,True,True,True,False,False,False,False,True,3,0.75,B,0.9242114256649178,0.4927391455554836,0.7000109086942292,0.4407861416189436,0.666051010641066,0.6443355561869886,0.6784677600134721,0.6793393104184358,35.0,37.0,37.0,0.6793393104184358,38,Gold,38,33
