country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,PQC,SCI_PLUS_SCORE
Cyprus,0.7038575279952438,0.6786890893822269,0.6912733086887354,31,0.6848432665318909,0.6658564656929137,0.6833244072069079,0.596756069958427,0.6576950523475349,0.8672472387425658,0.7387385332596121
Uruguay,0.6862513461668432,0.6623673047522665,0.6743093254595549,32,0.7466814279942503,0.643604841241761,0.6430866750308581,0.8254790305639254,0.7147129937076987,0.8141461342395921,0.7343894844689487
Romania,0.6732354112076663,0.6503951249973086,0.6618152681024874,33,0.6095859292882915,0.5804027585465524,0.5819172250492906,0.4803768497385297,0.5630706906556661,0.9380841121495328,0.7209900236358954
Jordan,0.661833731809889,0.6429232789991602,0.6523785054045246,34,0.5616608253761588,0.5546211869534248,0.5365686697319597,0.5369506319591014,0.5474503285051612,0.9468988954970264,0.7155759098022374
Greece,0.7270955884877905,0.7008462350078594,0.713970911747825,35,0.592362692765012,0.6034857718127086,0.5309676695146872,0.5432665007152021,0.5675206587019025,0.8584324553950722,0.7133080086149333
China,0.8878698551824906,0.8642363428866735,0.8760530990345821,36,0.3847261615454499,0.4712853761063778,0.6891968521041544,0.4947851845465974,0.5099983935756449,0.6903143585386576,0.6921219503829615
Malaysia,0.7070740285842079,0.6810792187937383,0.694076623688973,37,0.6034431520554201,0.6516738574552586,0.6934615161921491,0.5889252878810932,0.6343759533959803,0.7256796941376381,0.6847107570741972
India,0.796388107328652,0.7645184212226266,0.7804532642756392,38,0.5125063521476145,0.4653395111607493,0.578880822309833,0.4065498931321157,0.4908191446875781,0.7610450297366185,0.6774391462332785
Serbia,0.7489609312264557,0.7188475700350984,0.733904250630777,39,0.4744510524839344,0.5071920003541704,0.5109058952996139,0.345547932788508,0.4595242202315567,0.8141461342395921,0.6691915350339753
Ukraine,0.729451610637471,0.7020090006675136,0.7157303056524923,40,0.3513955419002077,0.4162012840119741,0.3535120687772453,0.3199166894176324,0.3602563960267648,0.8937977909940527,0.6565948308911033
Brazil,0.8452322609972611,0.8166060162356539,0.8309191386164575,41,0.4162167255882404,0.4177162986449019,0.4376990214381105,0.3804586521168324,0.4130226744470213,0.7168649107901445,0.653602241284541
Bulgaria,0.6514887803200039,0.6369587218190824,0.6442237510695432,42,0.513899015929633,0.557506332657026,0.4976260157109107,0.4192603035681158,0.4970729169664213,0.8141461342395921,0.6518142674251856
Croatia,0.5504371253696351,0.5213927348678971,0.535914930118766,43,0.6110963202886324,0.5569885622849946,0.6474174372235328,0.5085713736894489,0.5810184233716522,0.8318819031435853,0.6496050855446679
Malta,0.743555494256858,0.7133351995004414,0.7284453468786497,44,0.6938310393441952,0.6063606475321023,0.6278178780931746,0.5357099250258983,0.6159298724988426,0.5751911639762107,0.639855461117901
