country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,True,True,True,True,False,False,False,False,4,1.0,A,0.8578194285024713,1.0,0.9908366968473872,0.502532264754341,0.8361549777557774,0.8396516590095543,0.8799255417811407,0.8519107261821575,9.0,8.0,6.0
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,True,True,True,False,False,False,False,4,1.0,A,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.8285539203346031,0.8174642257525038,0.8532513229815225,0.8330898230228765,11.0,11.0,10.0
Gabon,0.2365812559561215,0.2957377032633009,0.615016992353441,0.356241865601403,True,True,False,True,False,False,True,False,3,0.75,B,0.2449277740513268,0.2503751364160514,0.622668266608487,0.359524762086062,0.3287018433004305,0.3707280577798411,0.35047617967961,0.3499686935866272,145.0,138.0,145.0
Gambia (Republic of The),0.187906560302883,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.1932227218861837,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3535228061128708,0.3948092482812736,0.3839190628845633,0.3774170390929026,131.0,124.0,130.0
Georgia,0.4260787474964091,0.5884643755050036,0.637213254035684,0.4096519846418876,True,True,True,True,False,False,False,False,4,1.0,A,0.4462228731528339,0.5814970503943908,0.6454674375477255,0.4527185261313548,0.5103205430319608,0.5276696484470622,0.530527664924427,0.5228392854678167,75.0,72.0,75.0
Germany,0.89455549229934,0.8678682433117846,0.9203483432455396,0.5402794163871945,True,True,True,True,False,False,False,False,4,1.0,A,0.943865728503289,0.8975486857736967,0.9362932257008836,0.6806465343555476,0.87551976953059,0.8712362812975202,0.8942409352661295,0.8803323286980798,6.0,6.0,5.0
Ghana,0.5177079893507044,0.4831825899719507,0.6282922684791844,0.3350681388628944,True,True,True,True,False,False,False,False,4,1.0,A,0.5435567068080145,0.4624060701779488,0.6363041343951129,0.3225793418346607,0.4913684132763521,0.499511989095677,0.5137185983990549,0.5015330002570281,80.0,85.0,82.0
Greece,0.713970911747825,0.5675206587019025,0.8584324553950722,0.4584474136236569,True,True,True,True,False,False,False,False,4,1.0,A,0.7520384344169552,0.5578062690229652,0.8726955383440601,0.5378602516453704,0.6787473689791587,0.693248611911626,0.699032819740047,0.6903429335436105,31.0,30.0,31.0
Grenada,0.0975655311481084,0.5567795170459108,0.615016992353441,0.3638131436347989,True,True,False,True,False,False,True,False,3,0.75,B,0.097257301611603,0.5456562747767704,0.622668266608487,0.3727356650243379,0.343194169774718,0.3910224462514236,0.3790521242430026,0.3710895800897147,134.0,128.0,134.0
Guatemala,0.2618465087617673,0.3121409483360726,0.159303313508921,0.2923819781985882,True,True,True,True,False,False,False,False,4,1.0,A,0.2717659739979253,0.2689298989949366,0.1545761972291916,0.2480975010072056,0.2480408249281827,0.2352534255188894,0.2403040051189544,0.2411994185220088,172.0,182.0,175.0
Guinea,0.0882557582795792,0.2544265790206249,0.2300339847068818,0.329246242516694,True,True,True,True,False,False,False,False,4,1.0,A,0.0873679271562969,0.2036454741578163,0.2272281007963345,0.312420884146658,0.1844907558451279,0.2000896570941715,0.1818914071068883,0.1888239400153959,187.0,187.0,189.0
Guinea Bissau,0.0060083359076905,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.0,0.4443531958935565,0.622668266608487,0.3559270285438891,0.277087870560147,0.3368271347110103,0.314326399350433,0.3094138015405301,160.0,154.0,158.0
Guyana,0.2080413576428749,0.4210951410137612,0.615016992353441,0.4729469762846325,True,True,False,True,False,False,True,False,3,0.75,B,0.2146110579163772,0.3921749744748107,0.622668266608487,0.5631601170203687,0.3938364472484327,0.4383844757393876,0.4052789277493106,0.4124999502457103,114.0,100.0,117.0
Haiti,0.0622981910974804,0.1088655739108627,0.0088147833474936,0.2515412115441287,True,True,True,True,False,False,False,False,4,1.0,A,0.0597943111897566,0.0389920852354768,0.0,0.1768356345406743,0.0706574292498375,0.0670570867738111,0.0558136400042468,0.0645093853426318,195.0,195.0,195.0
Honduras,0.1530787659767057,0.2795780487166018,0.203483432455395,0.3009161386125323,True,True,True,True,False,False,False,False,4,1.0,A,0.1562266421313006,0.2320959147047014,0.1999563652230827,0.2629885094196551,0.2037417977934935,0.2081423989422313,0.2013658182390756,0.2044166716582668,181.0,185.0,182.0
Hungary,0.7380445172095522,0.555070976174037,0.9468988954970264,0.3087459909887522,True,True,True,True,False,False,False,False,4,1.0,A,0.7776107982396114,0.5437236346136015,0.9635649612741356,0.2766505912117928,0.6437173731219168,0.661043771519082,0.6907370835343399,0.6651660760584464,40.0,33.0,34.0
Iceland,0.7126327491624229,0.8667066751187339,0.7875955819881053,0.4998310502301324,True,True,True,True,False,False,False,False,4,1.0,A,0.7506169614040252,0.8962347614894698,0.799934547834624,0.610069356109576,0.7627529239092773,0.761200175568733,0.7827970780316882,0.7689167258365662,20.0,20.0,21.0
India,0.7804532642756392,0.4908191446875781,0.7610450297366185,0.5379361059928162,True,True,True,True,False,False,False,False,4,1.0,A,0.8226598005986945,0.4710442670128139,0.7726628122613722,0.6765577601700221,0.7003333002464567,0.7025245355130829,0.6960745572902775,0.6996441310166057,27.0,28.0,32.0
Indonesia,0.6857033074986308,0.4672230367361789,0.4601741716227697,0.3733595901203665,True,True,True,True,False,False,False,False,4,1.0,A,0.7220109646470243,0.4443531958935565,0.4636195047452819,0.3893929819753194,0.5454157678736613,0.5199375113395043,0.5415104330950449,0.5356212374360702,62.0,75.0,71.0
