country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK
Mauritius,0.5849327554430694,0.6498424329697279,0.5486406117247239,0.3852061364022879,True,True,True,True,False,False,False,False,4,1.0,A,0.6149667072393992,0.6509257078800705,0.5544889276753572,0.4100636761954948,0.5704725226097112,0.5592623935743087,0.5830270419902186,0.5709206527247461,55.0,59.0,58.0,0.5709206527247461,58
Kazakhstan,0.6431786189671082,0.477791166390182,0.7699660152931181,0.3096283570066364,True,True,True,False,False,False,False,True,3,0.75,B,0.6768388026166171,0.4563074851675977,0.781826115413985,0.2781902060254193,0.5721143294548542,0.583759125935708,0.5987154425122246,0.5848629659675956,54.0,49.0,53.0,0.5698505441930789,59
Thailand,0.7226189440159491,0.4707354303628075,0.5486406117247239,0.3676399120567997,True,True,True,True,False,False,False,False,4,1.0,A,0.7612248700699832,0.44832628960376786,0.5544889276753572,0.37941288199712914,0.5736974738096445,0.553819553821193,0.5767107272981459,0.5680759183096612,52.0,61.0,60.0,0.5680759183096611,60
Ukraine,0.7157303056524923,0.3602563960267648,0.8937977909940527,0.2106964565756289,True,True,True,True,False,False,False,False,4,1.0,A,0.753907363485725,0.32335636792330147,0.9090214901276316,0.1055668089809172,0.5371360962281391,0.5541805205444243,0.5867513800766768,0.5593559989497469,65.0,60.0,56.0,0.5593559989497467,61
Argentina,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286,True,True,True,True,False,False,False,False,4,1.0,A,0.737871618316319,0.43142025111929033,0.5817606632486091,0.3463247842544314,0.5575720688986355,0.5427016441170744,0.5656867198360906,0.5553201442839335,59.0,63.0,62.0,0.5553201442839335,62
Brunei Darussalam,0.4113295962878027,0.6961439584307305,0.5395053886175302,0.4922194845494351,True,True,False,True,False,False,True,False,3,0.75,B,0.4305554791938572,0.7033003330324546,0.5451055677127373,0.5967881564267131,0.5602865395266816,0.5758268011985326,0.5718475726367138,0.5693203044539761,58.0,54.0,61.0,0.5525633069485464,63
Monaco,0.3630602395623732,0.8397839801049591,0.5858467705974792,0.3811148086830341,True,True,False,False,False,False,True,True,2,0.5,C,0.37928100127526376,0.8657807743821543,0.5927057043684809,0.4029248373958454,0.5271532299822586,0.5384792545995316,0.5650943549900844,0.5435756131906249,70.0,67.0,63.0,0.5461785135448523,64
Philippines,0.7182405901697629,0.438949807293756,0.5486406117247239,0.3266419423350331,True,True,True,True,False,False,False,False,4,1.0,A,0.7565739316105571,0.4123715326729473,0.5544889276753572,0.30787671646845366,0.5480527287007596,0.5283492284994293,0.5557021323580088,0.5440346965193992,61.0,71.0,66.0,0.5440346965193992,65
Sri Lanka,0.5075972266814739,0.4224388172360691,0.8369103885254695,0.3831080152572754,True,True,False,False,False,False,True,True,2,0.5,C,0.5328164750669422,0.393694892831039,0.8505888751342664,0.40640272560336965,0.4758349117774889,0.4861555919681223,0.4925067747576838,0.484832426167765,88.0,88.0,90.0,0.543821221893437,66
Indonesia,0.6857033074986308,0.4672230367361789,0.4601741716227697,0.3733595901203665,True,True,True,True,False,False,False,False,4,1.0,A,0.7220109646470243,0.44435319589355654,0.4636195047452819,0.38939298197531946,0.5454157678736613,0.5199375113395043,0.5415104330950449,0.5356212374360702,62.0,75.0,71.0,0.5356212374360702,67
