country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM
Israel,0.8330814494352046,0.7102983445158382,0.615016992353441,0.3721529253472198,True,True,False,True,False,False,True,False,3,0.75,B,0.8785644759646737,0.7193112669722883,0.622668266608487,0.3872875076912205
Italy,0.7930010538413984,0.6444358429294295,0.8937977909940527,0.4252730928791866,True,True,True,True,False,False,False,False,4,1.0,A,0.8359887820201048,0.6448099671157248,0.9090214901276316,0.47997534377838774
Jamaica,0.4529910857618803,0.4980929489582634,0.4424384027187765,0.297716791509383,True,True,True,True,False,False,False,False,4,1.0,A,0.474810701699628,0.4792721335531899,0.4454019853823497,0.257406061666564
Japan,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763,True,True,True,True,False,False,False,False,4,1.0,A,0.8749822547161219,0.8858213169240527,0.8454238027708082,0.6153797410054725
Jordan,0.6523785054045246,0.5474503285051612,0.9468988954970264,0.3433287020041328,True,True,True,True,False,False,False,False,4,1.0,A,0.6866114494051824,0.5351034312595689,0.9635649612741355,0.33699295831962467
Kazakhstan,0.6431786189671082,0.477791166390182,0.7699660152931181,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6768388026166171,0.4563074851675977,0.781826115413985,0.3559270285438891
Kenya,0.6230120368442038,0.3828781232875737,0.4955395072217502,0.2175382202561744,True,True,True,True,False,False,False,False,4,1.0,A,0.6554167029678434,0.34894525454826236,0.4999454565288535,0.11750480353238232
Kiribati,0.1606657737509384,0.5066895171565442,0.615016992353441,0.4390000363121789,True,True,False,True,False,False,True,False,3,0.75,B,0.16428599674008385,0.488996263211965,0.622668266608487,0.5039270883230439
Kuwait,0.4451672017271014,0.5619613041168726,0.3539719626168224,0.5664796184894159,True,True,True,True,False,False,False,False,4,1.0,A,0.46649972354715635,0.5515177264840079,0.35453256245227444,0.7263625053460374
Kyrgyzstan,0.3000051028179664,0.4672230367361789,0.5929269328802039,0.354179974671984,True,False,True,False,False,True,False,True,2,0.5,C,0.3123002201754467,0.44435319589355654,0.5999781826115413,0.3559270285438891
Lao People's Democratic Republic,0.2653457711590519,0.4672230367361789,0.615016992353441,0.2329903592567963,True,False,False,True,False,True,True,False,2,0.5,C,0.2754830911234248,0.44435319589355654,0.622668266608487,0.14446679167038806
Latvia,0.6839439135939636,0.7128040076102724,0.8672472387425658,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.7201420355782546,0.7221455832074993,0.8817497545543798,0.3559270285438891
Lebanon,0.3142402396745158,0.2330648139015806,0.1769328802039082,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.3274215986220496,0.1794818115232982,0.1726846296498309,0.3559270285438891
Lesotho,0.2730036145402973,0.3863100548279978,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.2836176913748687,0.35282733243206227,0.622668266608487,0.3559270285438891
Liberia,0.0504072981046679,0.2611678516452462,0.0972812234494477,0.1599226499175314,True,True,True,True,False,False,False,False,4,1.0,A,0.047163122966957814,0.21127095999762838,0.09086942293007524,0.016973069772259684
Libya,0.2584009785731744,0.1207095039707569,0.1858538657604078,0.3088199064908667,True,True,True,True,False,False,False,False,4,1.0,A,0.26810593430487967,0.05238951417635436,0.18184793280244355,0.2767795642226586
Liechtenstein,0.3973887009210851,0.883351736046467,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.41574666092614654,0.9150630574915718,0.622668266608487,0.3559270285438891
Lithuania,0.774994360523512,0.7764022725384304,0.9646346644010196,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.8168610400829838,0.7940856597555122,0.9817824806370677,0.3559270285438891
Luxembourg,0.762188958278292,0.937967768108498,0.7787807986406118,0.6912954714143279,True,True,True,True,False,False,False,False,4,1.0,A,0.8032584077049283,0.9768427543391134,0.7908803316243046,0.9441500586330682
Madagascar,0.1258502387956234,0.289553912480526,0.0707306711979609,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.12730293959174077,0.24338025404351743,0.0635976873568234,0.3559270285438891
Malawi,0.1971199171180266,0.3713945544816081,0.615016992353441,0.2179637079453785,True,True,False,True,False,False,True,False,3,0.75,B,0.20300967768220587,0.3359554533346797,0.622668266608487,0.11824722463205836
Malaysia,0.694076623688973,0.6343759533959803,0.7256796941376381,0.3700095659368269,True,True,True,True,False,False,False,False,4,1.0,A,0.7309055811332,0.6334305808397249,0.7363368604778008,0.38354762216494026
Maldives,0.1996851448508534,0.4499312203774921,0.2743203058623619,0.4547381138887519,True,True,True,True,False,False,False,False,4,1.0,A,0.2057346096404082,0.42479331334167675,0.2727173557325188,0.5313880023697982
Mali,0.164000206501554,0.2540790397009392,0.0796516567544605,0.288416805030704,True,True,True,True,False,False,False,False,4,1.0,A,0.16782802236547203,0.2032523501427214,0.07276099050943605,0.24117878561684258
Malta,0.7284453468786497,0.6159298724988426,0.5751911639762107,0.4503893289071978,True,True,True,True,False,False,False,False,4,1.0,A,0.7674140092090799,0.6125650356357804,0.5817606632486091,0.5237999338776186
Marshall Islands,0.07196940804226,0.5074425213986395,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.07006763226386545,0.48984803460664866,0.622668266608487,0.3559270285438891
Mauritania,0.2519152571237976,0.3001384654321052,0.159303313508921,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.26121642916533794,0.25535312076281014,0.15457619722919166,0.3559270285438891
Mauritius,0.5849327554430694,0.6498424329697279,0.5486406117247239,0.3852061364022879,True,True,True,True,False,False,False,False,4,1.0,A,0.6149667072393992,0.6509257078800705,0.5544889276753572,0.4100636761954948
Mexico,0.500762320526709,0.3467610006428698,0.362786745964316,0.2448524026908713,True,True,True,True,False,False,False,False,4,1.0,A,0.5255560459151378,0.30809086063218577,0.36358677866259403,0.1651645264208435
Micronesia (Federated States of),0.1304678909160848,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.13220807439668855,0.44435319589355654,0.622668266608487,0.3559270285438891
Monaco,0.3630602395623732,0.8397839801049591,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.37928100127526376,0.8657807743821543,0.622668266608487,0.3559270285438891
Mongolia,0.427361966866255,0.433235355213235,0.4867247238742566,0.3697003596208008,True,True,True,True,False,False,False,False,4,1.0,A,0.4475859823323936,0.40590754940914253,0.4908912403185339,0.38300809705294403
