iso3,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,QVP_GLOBAL_SCORE,RANK
NRU,Nauru,0.0972812234494477,0.1218050279611531,0.5136554452005402,0.35729007583356426,0.25950750049197047,182
MRT,Mauritania,0.159303313508921,0.2629011630277679,0.29593440553183514,0.35729007583356426,0.2589579013592899,183
MMR,Myanmar,0.3982582837723025,0.115524016439302,0.1281443016636753,0.3871407972900385,0.25782272411544277,184
TJK,Tajikistan,0.1238317757009345,0.3179096734199819,0.2682279446801151,0.35729007583356426,0.2551419524020174,185
SSD,,0.6017417162276976,0.0081992463954048,0.0,0.35729007583356426,0.2540303416338733,186
SOM,,0.6017417162276976,0.1552391358666424,0.028375887661913825,0.1346603917546274,0.2533583491013738,187
NIC,Nicaragua,0.1769328802039082,0.1606908897015279,0.18637882026669073,0.49289864572525227,0.2384270206982776,188
HND,Honduras,0.203483432455395,0.158787750940944,0.2742048808238652,0.34550301540948164,0.23839379075971712,189
TCD,Chad,0.2212192013593882,0.1077182975074923,0.1908994633352355,0.4519997684623473,0.23142015431096785,190
LBY,Libya,0.1858538657604078,0.2700587776282506,0.10630274069987568,0.3982546786791737,0.22949747504598866,191
IRQ,Iraq,0.2124044180118946,0.2683367922233053,0.2111425803507142,0.17101543782777237,0.21779425611262776,192
SDN,,0.6017417162276976,0.0556665682046198,0.0826505552684612,0.006272012002936036,0.21635619813716672,193
BOL,Bolivia,0.2831350892098555,0.2353898740383651,0.24435917235688304,0.050149109854492856,0.21490761033266725,194
GIN,Guinea,0.2300339847068818,0.085428206552914,0.24762324632866634,0.2898259716882683,0.21023825297011325,195
ZWE,Zimbabwe,0.1503823279524214,0.271886435823985,0.2149409324211053,0.1898889801397921,0.2047993364749574,196
MDG,Madagascar,0.0707306711979609,0.126380178717407,0.28474799291838215,0.35729007583356426,0.1954592594350484,197
MLI,Mali,0.0796516567544605,0.1723190107938534,0.24725594520152494,0.1678580910786255,0.16236085424090782,198
BDI,Burundi,0.0088147833474936,0.088523938238119,0.21839337482960886,0.27041640907478354,0.13345704508613676,199
LBR,Liberia,0.0972812234494477,0.0460784794159853,0.2547478417143919,0.0,0.10439094731742861,200
HTI,Haiti,0.0,0.0595030379517275,0.09378534018036788,0.22935186710179278,0.08419246795338241,201
