country,AI_INDEX_2026_v1,LEGAL_WGI_2026_v1,PQC_NCSI_2026,RES_INDEX_2026,SCI_2026_v1,SCI_PLUS_2026_v1,SCI_ULTRA_2026_v1
Serbia,0.32050391555015434,-0.018995904994308088,0.19912914188615116,0.0,-0.007698816504622175,-0.029710775043438498,0.0
"Serbia, Republic of",0.0,0.0,0.0,-0.023837068013033813,0.0,0.0,0.0
Seychelles,-0.20011984654784587,0.1792018345975766,0.0,0.023876583726932965,0.19049892308726252,0.0,0.0
Sierra Leone,-0.26940914709649166,-0.19313582879453361,0.0,0.02482127468468237,-0.1818387403048477,0.0,0.0
Singapore,0.47924924807256664,0.4682328673931248,0.2434154630416312,0.29096313752511416,0.4795299558828107,0.4575179973439944,0.0
Slovak Republic,0.0,0.1153730588372412,0.0,-0.04982237466522593,0.0,0.0,0.0
Slovakia,0.08866351922111748,0.0,0.3230671197960918,0.0,0.0,0.0,0.0
Slovenia,0.32556111339506644,0.22029580501592,0.28770178419711145,0.0,0.2315928935056059,0.2095809349667896,0.0
"Slovenia, Republic of",0.0,0.0,0.0,0.0954298066256915,0.0,0.0,0.0
Solomon Islands,-0.2746507000001228,-0.08641731862681368,0.0,0.1650895163188293,-0.07512023013712776,0.0,0.0
Somalia,-0.2635278010182345,0.0,0.0,-0.09209050774496241,0.0,0.0,0.0
South Africa,0.1593301824814819,-0.011631791992064378,-0.1105564995751912,0.0,-0.0003347035023784639,-0.022346662041194787,0.0
South Sudan,-0.4056509196734503,-0.4583939831170405,0.0,0.0,-0.4470968946273546,0.0,0.0
Spain,0.4717745487431756,0.2104025247429991,0.28770178419711145,0.09665523781935037,0.221699613232685,0.19968765469386868,0.0
Sri Lanka,0.0941968916008512,-0.056081307989795715,0.0,0.0,-0.0447842195001098,0.0,0.0
St. Kitts and Nevis,0.0,0.13716151401021032,0.0,0.012208143480670786,0.0,0.0,0.0
St. Lucia,0.0,0.09617352992450429,0.0,-0.056249457304504036,0.0,0.0,0.0
St. Vincent and the Grenadines,0.0,0.10623808955161801,0.0,-0.05914234682863062,0.0,0.0,0.0
State of Palestine,-0.09500151442214627,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,-0.35355869629172126,-0.3801902542768958,0.0,-0.17298232505348812,-0.3688931657872099,0.0,0.0
Suriname,-0.3396532187285099,-0.09997778405817259,0.0,-0.1826072393308287,-0.08868069556848668,0.0,0.0
