country,PC1,PC2,PC3
Turkmenistan,-0.47297712676333137,0.1310380861582263,0.2048243875282177
Tuvalu,-0.1012589661679291,-0.2896230755234822,0.1236371966394905
"Türkiye, Republic of",-0.004630287044062322,-0.005820345113367801,-0.0014711389231494435
USA,0.5735202846702032,0.27168735247041736,-0.14964613059727255
Uganda,-0.35874260913344747,0.0023548540845677005,-0.20575961347044605
Ukraine,0.09039964493918953,0.4380040063260607,0.07914719920827336
United Arab Emirates,0.6244499025996861,0.019302588381097042,-0.032170504250040234
United Kingdom,0.2223110757437996,-0.11473862226499183,0.10866169307028846
"United Kingdom of Great
Britain and Northern Ireland",0.259434725964653,0.34463747692621743,-0.22990092277846447
United Republic of Tanzania,-0.008927670120854702,0.011149670289107438,7.5619455672222904e-06
Uruguay,0.49485244179182003,-7.427180321843783e-05,0.026511094042452246
Uzbekistan,-0.05909693189561632,0.23790464763915206,-0.1515711416325932
"Uzbekistan, Republic of",-0.010904693022068049,0.0007404246268780394,0.0024865158953453316
Vanuatu,-0.13393313842833543,-0.08004821675310199,0.0888713492116926
Venezuela,-0.1739392391031861,-0.12405274343419409,-0.28533515914759616
"Venezuela, Bolivarian
Republic of",-0.1250167624739888,-0.1331115874282523,0.09946213421504833
"Venezuela, RB",-0.20580584420585943,0.21806910543672872,0.04246226713948645
"Venezuela, República Bolivariana de",-0.05240336172831192,0.044133091735573574,0.028662285640258457
Vietnam,0.10770938932781476,0.1751353513589024,-0.11583238057935603
Virgin Islands (U.S.),0.048221648026584116,-0.06550986052651991,-0.007677756151884403
West Bank and Gaza,-0.09334910814798358,0.09253007559930597,0.020265522544401643
Yemen,-0.22074690432173968,-0.25207324338132303,0.1814750099967219
"Yemen, Rep.",-0.20039190123285183,0.21202534876859355,0.0413936614370912
"Yemen, Republic of",-0.03512350515508955,0.026064582856997788,0.017762814380407242
Zambia,-0.04592482936363074,0.12871725553441807,-0.023561813944590428
Zimbabwe,-0.6199094559396818,0.039449768770577535,-0.2448856705236126
afghanistan,-0.013805438337041887,-0.00046748785193393826,-0.07848180590332497
albania,-0.014655450418507266,0.006696328451465801,0.04456140102955315
algeria,-0.014156747341266032,0.002493309090685238,-0.027628191646907607
andorra,-0.014704207919298816,0.007107251762674951,0.051619276311845916
angola,-0.013873761080569596,0.0001083293566085811,-0.06859177062805055
antigua and barbuda,-0.014138546846409817,0.002339917151177614,-0.030262798029223006
argentina,-0.014694255151737905,0.007023370839013386,0.050178566861645055
armenia,-0.014270381681804282,0.003451007880060807,-0.011179091707733787
australia,-0.015621705618649678,0.014839830063927214,0.18443134068515196
austria,-0.015389044976658845,0.012878989581071951,0.15075262935641143
