country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE
Cyprus,0.6912733086887354,0.6576950523475349,0.8672472387425658,0.4598269958805703,True,True,True,True,False,False,False,False,4,1.0,A,0.7279277392303926,0.6598083093123578,0.8817497545543798,0.540267444620065,0.6953252904485538,0.710183117853415,0.7204298731060861,0.7086460938026848
Czechia,0.7541098835777815,0.7569119935642942,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.7946763513976447,0.7720389551335328,0.622668266608487,0.3559270285438891,0.6692246318674119,0.6435922176781093,0.68931223428074,0.6673763612754203
Côte D'Ivoire,0.4542193619161699,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.4761154470458174,0.4443531958935565,0.622668266608487,0.3559270285438891,0.4654293510825033,0.4796994618042415,0.4858080024777245,0.4769789384548231
Democratic People's Republic of Korea,0.0935156255883958,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.0929552597514828,0.4443531958935565,0.622668266608487,0.3559270285438891,0.31385905988526397,0.36472107169342477,0.34780592004274136,0.34212868387381
Democratic Republic of the Congo,0.2195818549234346,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2268700357259967,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3668329915805162,0.40490610621469786,0.3960377524880598,0.3892589500944246
Denmark,0.9129101593157498,0.9584398153347,0.9027187765505524,0.7176088170442433,True,True,True,True,False,False,False,False,4,1.0,A,0.9633631080517558,1.0,0.9181847932802444,0.990063450475872,0.970819833203812,0.9654545773384228,0.9662593983643376,0.9675112696355243
Djibouti,0.1665288054240101,0.3033750947895522,0.615016992353441,0.2732792601389062,True,True,False,True,False,False,True,False,3,0.75,B,0.1705140451014276,0.2590142798210849,0.622668266608487,0.2147657235938595,0.2704143259245371,0.31664643993933234,0.3066018846548481,0.29788755017290586
Dominica,0.103263733174511,0.5592302091456025,0.615016992353441,0.3122368462693197,True,True,False,True,False,False,True,False,3,0.75,B,0.1033102584728355,0.5484284097940793,0.622668266608487,0.2827416831093202,0.3270356688201405,0.3725577965429882,0.3699143738625845,0.3565026130752378
Dominican Republic,0.49687845562053,0.4837470816098899,0.7787807986406118,0.2916710080424913,True,True,True,True,False,False,False,False,4,1.0,A,0.5214303819560455,0.463044602875184,0.7908803316243046,0.2468569498502177,0.49034465992241405,0.5155997249814023,0.5320665130904088,0.5126702993314083
Ecuador,0.6220218479573252,0.3404036848024685,0.3893372982158029,0.1945621115089828,True,True,True,True,False,False,False,False,4,1.0,A,0.6543648675662593,0.3008996929373596,0.3908585142358459,0.0774144593104996,0.40683311993990534,0.3785311615947834,0.41936068235792356,0.4015749879642041
