country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,QSSI_NO_RES,QSSI_NO_RES_RANK,ORIGINAL_TIER,LODO_TIER,TIER_CHANGED
Finland,0.8135522384731969,0.9584398153347,0.9734494477485132,0.43820065135753,True,True,True,True,False,False,False,False,4,1.0,A,0.8578194285024713,1.0,0.9908366968473872,0.502532264754341,0.8361549777557774,0.8396516590095543,0.8799255417811407,0.8519107261821574,9.0,8.0,6.0,0.8519107261821574,11,Gold,11,0.9355307649497928,5.0,Tier 1,Tier 1,False
Canada,0.8640010094156945,0.8537832796331456,0.9823704333050128,0.4474138939284242,True,True,True,True,False,False,False,False,4,1.0,A,0.9114090051447578,0.8816162799704584,1.0,0.5186081838810729,0.8340936062231977,0.8371640499747303,0.8714648255178414,0.8475741605719231,10.0,9.0,8.0,0.8475741605719231,12,Gold,12,0.926308687055621,8.0,Tier 1,Tier 1,False
Estonia,0.8512163435893891,0.8336284625831961,0.9823704333050128,0.475594875649424,True,True,True,False,False,False,False,True,3,0.75,B,0.897828400179659,0.8588178737085511,1.0,0.5677803596457598,0.7885826242436564,0.790630694385335,0.8385809013152238,0.8468442129321457,17.0,16.0,13.0,0.8468442129321457,13,Gold,13,0.913635194079318,10.0,Tier 1,Tier 1,False
Sweden,0.807195928866983,0.908237582907886,0.7610450297366185,0.5811283859477431,True,True,True,True,False,False,False,False,4,1.0,A,0.8510673920417107,0.943213035013678,0.7726628122613722,0.7519227138344498,0.8397323020970786,0.8269308904889919,0.8443216244646825,0.8369949390169176,8.0,10.0,12.0,0.8369949390169176,14,Gold,14,0.8573560761595309,18.0,Tier 1,Tier 1,False
France,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,True,True,True,False,False,False,False,4,1.0,A,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.8285539203346031,0.8174642257525038,0.8532513229815225,0.8330898230228764,11.0,11.0,10.0,0.8330898230228765,15,Gold,15,0.9106925512791466,12.0,Tier 1,Tier 1,False
United States of America,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,False,False,False,False,True,True,True,1,0.25,D,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.6726673076293918,0.6369063024416939,0.6744945144395229,0.8330898230228764,32.0,40.0,38.0,0.8330898230228765,16,Gold,16,0.9106925512791466,12.0,Tier 1,Tier 1,False
Japan,0.8297091768673535,0.8575007215242297,0.8318819031435853,0.5028744758535763,True,True,True,True,False,False,False,False,4,1.0,A,0.8749822547161219,0.8858213169240527,0.8454238027708082,0.6153797410054725,0.8175979738063355,0.8093940736734063,0.8361628968704784,0.8210516481167399,12.0,13.0,14.0,0.8210516481167399,17,Gold,17,0.8702770433393673,14.0,Tier 1,Tier 1,False
Switzerland,0.7265760665428697,0.922336409910996,0.796516567544605,0.556696497294005,True,True,True,True,False,False,False,False,4,1.0,A,0.7654283524735692,0.9591611225123964,0.8090978509872369,0.7092922215741452,0.8061365523653087,0.8041381507312246,0.820636425446327,0.8103037095142867,14.0,14.0,15.0,0.8103037095142867,18,Gold,18,0.8344797405810338,23.0,Tier 1,Tier 1,False
United Arab Emirates,0.7817914268610413,0.7280314666812258,0.840696686491079,0.6142531708339929,True,True,True,True,False,False,False,False,4,1.0,A,0.8240812736116244,0.7393703388267536,0.8544780189811279,0.8097211880224644,0.8055776651310846,0.8109910522384417,0.806345684652142,0.8076381340072227,15.0,12.0,19.0,0.8076381340072227,19,Gold,19,0.8071395770647092,27.0,Tier 1,Tier 1,False
Taiwan,0.7590376695795309,0.8272813817603069,0.819514513272701,0.5533431744083802,True,False,False,False,False,True,True,True,1,0.25,D,0.7999109281907748,0.8516382834984899,0.832720481834379,0.703441105954393,0.5935161852393908,0.5768637403011765,0.6024288105960688,0.8007265317092781,48.0,51.0,50.0,0.8007265317092781,20,Gold,20,0.8240107692089335,25.0,Tier 1,Tier 1,False
