country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,rank
Türkiye,0.3222438836203041,0.4377046153381014,0.4721265662589367,0.3449995659662586,0.3942686577959002,136
Niue,0.7541483998431787,0.2712372655495179,0.1897557999570845,0.361276773321938,0.3941045596679298,137
Solomon Islands,0.5580700978993145,0.2752016954112246,0.2929218924334312,0.4422175406522343,0.3921028065990511,138
São Tomé and Príncipe,0.4382317627325264,0.2746224251103993,0.326598775700495,0.5167242919792999,0.3890443138806801,139
Bosnia and Herzegovina,0.446283537913949,0.4044444316469562,0.3453203956830638,0.3565677714621413,0.3881540341765276,140
Lesotho,0.4255931449068511,0.3720500460169677,0.3426763816581376,0.4049206467300348,0.3863100548279978,141
Kenya,0.4118838150650194,0.4083509848686899,0.4211043320064451,0.2901733612101403,0.3828781232875737,142
"Gambia, The",0.4285252292906739,0.3290549970851721,0.3676657325190501,0.3976136691631687,0.3807149070145162,143
Zambia,0.3890185441898554,0.3874528147615185,0.3682875892374946,0.3694437534778418,0.3785506754166776,144
Suriname,0.4724405337367857,0.2679364254384149,0.3859774903499687,0.3878149151455993,0.3785423411676922,145
Malawi,0.4871743222362891,0.348029872696587,0.3250071656813789,0.3253668573121772,0.3713945544816081,146
Paraguay,0.3837170812422616,0.4545131481592792,0.4083878696973901,0.2389219493367509,0.3713850121089205,147
Uzbekistan,0.3665353662760873,0.3619978670586537,0.455758829374941,0.3010904701401099,0.3713456332124479,148
"Egypt, Arab Rep.",0.343980596207447,0.3685425584666241,0.4662101682557238,0.2843923488559637,0.3657814179464397,149
Ukraine,0.3513955419002077,0.4162012840119741,0.3535120687772453,0.3199166894176324,0.3602563960267648,150
Algeria,0.3569369071777429,0.3077919066045716,0.4315926615696636,0.3380651589190763,0.3585966585677635,151
Nepal,0.4499460941357343,0.3558576642576594,0.2893485296237421,0.3290566496060081,0.356052234405786,152
Togo,0.3720588453444078,0.3904636717905009,0.3080057134995058,0.3219856908105383,0.3481284803612382,153
Mexico,0.248794591342824,0.4414117197076557,0.4386131427288289,0.2582245487921706,0.3467610006428698,154
Burkina Faso,0.3126753058476714,0.3622816833511917,0.2915185822816742,0.4163792523875647,0.3457137059670255,155
Cuba,0.3742566251311508,0.143543809221126,0.4274765441566108,0.4224175601274593,0.3419236346590867,156
Ecuador,0.2934693262513409,0.3332786480669574,0.4386850578260717,0.296181707065504,0.3404036848024685,157
Timor-Leste,0.3737586976719845,0.3122075439032826,0.2861968426262746,0.3876671966213288,0.3399575702057176,158
Uganda,0.3470599579092073,0.3625887750752282,0.4093702227387092,0.2179483084884822,0.3342418160529067,159
Papua New Guinea,0.386615782767352,0.3443236561527703,0.2857736171133316,0.2912023589377703,0.326978853742806,160
Lao PDR,0.3461390547247262,0.3357748781069251,0.3573170781556297,0.2492592130841895,0.3221225560178676,161
Ethiopia,0.2736224241581552,0.2884538382806222,0.3429229188294163,0.3738015763168029,0.3197001893962491,162
Eswatini,0.3183490905868123,0.3353013790453209,0.3125689083409519,0.2940035653723515,0.3150557358363591,163
